IM,EQRecord_X,EQRecord_Y,MaxDrift_X,MaxDrift_Y,MaxAbsAccel_X,MaxAbsAccel_Y,MaxAbsVel_X,MaxAbsVel_Y,ResDrift_X,ResDrift_Y,Iffinish,Iffinish_X,Iffinish_Y,tCurrent_X,tCurrent_Y,TotalTime
0.1,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.001177386, 0.0020372174999999998, 0.0024513000000000004, 0.0026053999999999995, 0.00255405, 0.0021477999999999983]","[0.0009322900000000001, 0.0017142124999999999, 0.0022056750000000003, 0.002505375, 0.0025219499999999994, 0.002090975]","[1005.11, 979.247, 1326.76, 1491.79, 1656.38, 1587.5, 2045.72]","[787.738, 839.552, 960.337, 938.955, 1217.46, 1553.55, 1915.85]","[109.922, 117.616, 146.895, 194.248, 239.123, 279.688, 316.475]","[82.2898, 72.6919, 111.691, 168.77, 222.272, 265.913, 316.672]",4.6903050000000145e-07,3.2478900000000013e-06,True,True,True,79.40000000000059,79.40000000000059,79.4
0.42222222222222217,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.00498598, 0.008616150000000001, 0.010343124999999998, 0.011000499999999998, 0.010778750000000002, 0.0090685]","[0.00393634, 0.0072378, 0.009312800000000001, 0.010578225, 0.010648249999999998, 0.008828500000000005]","[4243.78, 4135.37, 5596.98, 6310.82, 6986.97, 6699.3, 8637.5]","[3326.01, 3544.77, 4054.75, 3964.47, 5140.39, 6559.43, 8089.14]","[464.115, 496.549, 620.167, 819.765, 1008.9, 1180.48, 1336.04]","[347.446, 306.921, 471.582, 712.584, 938.481, 1122.74, 1337.06]",2.2647347581249995e-05,1.3713275625000002e-05,True,True,True,79.40000000000059,79.40000000000059,79.4
0.7444444444444444,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.0246982, 0.037725499999999995, 0.057738500000000005, 0.06757800000000001, 0.06203774999999999, 0.05476750000000001]","[0.0072709, 0.01307305, 0.016192250000000002, 0.01822575, 0.01823375, 0.015044750000000008]","[7482.45, 10922.1, 15841.6, 9288.78, 13758.1, 14039.0, 15021.9]","[5864.27, 6153.1, 7149.17, 6989.99, 8517.4, 11202.5, 13386.8]","[818.308, 990.317, 1338.72, 1709.25, 2108.44, 2406.39, 2624.83]","[612.602, 525.127, 786.869, 1178.66, 1544.83, 1925.35, 2316.63]",0.0466104125,0.0005169143312499999,True,True,True,79.40000000000059,79.40000000000059,79.4
1.0666666666666667,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.0221886, 0.03360957500000001, 0.046831000000000005, 0.05423299999999999, 0.06515724999999997, 0.07283475000000002]","[0.01888008, 0.03290715, 0.0398005, 0.0450145, 0.04973949999999999, 0.04615200000000001]","[10721.1, 9803.0, 9500.53, 13132.7, 13448.8, 15921.3, 21329.1]","[8402.54, 9233.44, 10241.6, 10020.4, 9791.57, 12655.3, 19884.9]","[1172.5, 1411.35, 1936.52, 2524.47, 2985.11, 3370.13, 3735.18]","[877.757, 792.838, 957.734, 1515.81, 2190.35, 2886.32, 3586.88]",0.056939224999999996,0.025643487500000006,True,True,True,79.40000000000059,79.40000000000059,79.4
1.3888888888888888,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.0589708, 0.07442275, 0.08047925, 0.08507200000000001, 0.08766250000000002, 0.08042500000000001]","[0.0207624, 0.03174225, 0.03729925, 0.03781750000000001, 0.03339149999999998, 0.026026250000000004]","[13959.8, 12521.4, 15510.6, 12531.8, 14536.3, 18744.9, 22850.7]","[10624.3, 11588.3, 13267.6, 13203.3, 12475.0, 13885.8, 17758.1]","[1526.69, 1729.73, 2215.84, 2776.84, 3301.05, 3805.06, 4198.59]","[779.038, 774.018, 1029.06, 1685.34, 2336.64, 3071.03, 3925.84]",0.0735973125,0.0034294351770833334,False,True,False,79.40000000000059,4.800000000000002,79.4
1.711111111111111,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.036738400000000004, 0.04672475, 0.04857325, 0.04540475000000001, 0.04043350000000001, 0.033963249999999987]","[0.026513, 0.04136425, 0.040940250000000004, 0.050315750000000006, 0.06010774999999998, 0.05169975]","[17198.5, 11416.0, 10926.5, 12577.4, 16087.6, 13948.3, 19507.8]","[13089.2, 20938.3, 26590.6, 27174.5, 21585.2, 14275.9, 26987.1]","[1146.26, 1044.63, 1039.1, 1694.67, 2178.46, 2506.74, 2597.56]","[959.775, 1460.66, 1917.63, 2439.33, 2631.11, 3817.85, 5459.48]",0.008327659602631578,0.006248696779999999,False,False,False,3.800000000000001,5.000000000000002,79.4
2.033333333333333,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.0711484, 0.08900575, 0.09219625, 0.09253500000000002, 0.08494249999999999, 0.06815500000000003]","[0.032391199999999995, 0.0572615, 0.083201, 0.23159075, 0.13776, 0.10538250000000005]","[20437.2, 13483.7, 16903.9, 18731.8, 19074.7, 19044.4, 29716.4]","[16017.3, 17853.9, 17394.1, 21837.0, 17702.8, 18662.9, 22352.8]","[1362.12, 1498.71, 1939.9, 2359.27, 2839.07, 2912.1, 3439.24]","[1673.23, 1807.87, 2181.88, 2505.02, 3062.34, 4310.34, 5390.02]",0.0188869879875,0.07290635096153847,False,False,False,4.000000000000001,7.0000000000000036,79.4
2.3555555555555556,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.05577240000000001, 0.06922949999999999, 0.06809975, 0.082001, 0.102746, 0.06737]","[0.01925316, 0.03601505, 0.04429875, 0.04872675000000001, 0.05180624999999998, 0.04630450000000002]","[23675.8, 21434.0, 11406.9, 18825.3, 20567.0, 21181.0, 27110.8]","[16555.4, 18026.8, 20738.2, 25852.8, 20361.1, 11676.9, 20055.5]","[1577.97, 1414.25, 1575.79, 2004.2, 2842.42, 3289.62, 4754.27]","[1184.33, 998.717, 1662.92, 2348.66, 2708.76, 2558.05, 3574.12]",0.01933997170192308,0.008267903399999998,False,False,False,5.600000000000002,3.0000000000000004,79.4
2.6777777777777776,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.022705600000000003, 0.047738749999999996, 0.06621525000000002, 0.08409399999999999, 0.09137999999999999, 0.08004250000000002]","[0.0202864, 0.029892, 0.03213975000000001, 0.02880149999999999, 0.023830250000000008, 0.018680000000000006]","[18225.6, 15986.1, 12810.4, 11547.8, 10583.7, 12403.2, 29706.6]","[18820.1, 16715.3, 14455.6, 12221.6, 12027.8, 11823.0, 11246.2]","[617.238, 923.953, 1246.95, 1638.11, 2489.6, 3492.89, 5065.31]","[605.402, 772.467, 1252.97, 1611.57, 1802.74, 1889.03, 1935.91]",0.0078873531875,0.006815750694444445,False,False,False,2.4,1.7999999999999998,79.4
3.0,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL090,H:\python programs\MDOFModel\MDOFModel\Resources\FEMA_P-695_far-field_ground_motions\RSN68_SFERN_PEL180,"[0.1267864, 0.16510449999999996, 0.16475499999999998, 0.15410749999999995, 0.14535000000000003, 0.10710000000000003]","[0.0267908, 0.036878, 0.03815174999999999, 0.032929750000000015, 0.026367249999999984, 0.020644750000000017]","[30153.2, 17850.6, 16424.6, 20809.7, 18734.7, 14105.7, 31293.5]","[21084.7, 18071.4, 15246.2, 12624.7, 12884.0, 11922.4, 10690.3]","[2009.68, 2629.72, 3341.26, 3738.27, 3336.49, 3765.62, 5440.43]","[678.251, 931.117, 1498.93, 1912.49, 2117.64, 2192.7, 2227.75]",0.05063691057894737,0.007906749194444444,False,False,False,3.800000000000001,1.7999999999999998,79.4
