damping ratio,Hysteretic curve type,"Hysteretic parameter, tao",Typical story height (m)
0.05,Pinching,0.4,3.6576000000000004
No. of story,Floor mass (kg),Elastic shear stiffness (N/m),Design shear force (N),Design displacement (m),Yield shear force (N),Yield displacement (m),Ultimate shear force (N),Ultimage displacement (m),Complete damage displacement (m)
1,1200000,897427535.6184262,3528000.0,0.0039312366291154865,4410000.0,0.004914045786394358,8820000.0,0.039312366291154865,0.14630400000000002
2,1200000,897427535.6184262,2940000.0,0.0032760305242629053,3675000.0,0.0040950381553286315,7350000.0,0.03276030524262905,0.14630400000000002
3,1200000,897427535.6184262,1764000.0,0.0019656183145577433,2205000.0,0.002457022893197179,4410000.0,0.019656183145577433,0.14630400000000002
