damping ratio,Hysteretic curve type,"Hysteretic parameter, tao",Typical story height (m),T1 (s),Cs
0.05,Pinching,0.2,3.6576000000000004,0.6000000000000001,0.05
No. of story,Floor mass (kg),Elastic shear stiffness (N/m),Design shear force (N),Design displacement (m),Yield shear force (N),Yield displacement (m),Ultimate shear force (N),Ultimage displacement (m),Complete damage displacement (m)
1,4320000,2389454659.236196,6350400.000000003,0.002657677548076994,9525600.000000004,0.003986516322115491,19051200.000000007,0.03986516322115491,0.14630400000000002
2,4320000,2389454659.236196,5292000.000000003,0.002214731290064162,7938000.000000004,0.0033220969350962427,15876000.000000007,0.03322096935096243,0.14630400000000002
3,4320000,2389454659.236196,3175200.0000000014,0.001328838774038497,4762800.000000002,0.0019932581610577456,9525600.000000004,0.019932581610577454,0.14630400000000002
